Nr,date,time,minute,p,T,RH,H
1,15.8.1930,17h58,0,521,-18.5,82,0
1,15.8.1930,17h58,1,514,-14.1,,102
1,15.8.1930,17h58,12,494,-10.6,,405
2,30.8.1930,17h22,0,522,-15.2,91,0
2,30.8.1930,17h22,4.1,504,-12.8,,266
2,30.8.1930,17h22,7,495,-12.8,,401
2,30.8.1930,17h22,11,480,-13.6,,635
2,30.8.1930,17h22,21,501,-12.6,,294
2,30.8.1930,17h22,24,522,-16,91,0
3,31.8.1930,11h02,0,522,-13,89,0
3,31.8.1930,11h02,1,511,-16.5,,161
3,31.8.1930,11h02,3,500,-13,,326
3,31.8.1930,11h02,6,479,-15.5,,651
3,31.8.1930,11h02,9,470,-13.1,,795
3,31.8.1930,11h02,13,476,-13.9,,699
3,31.8.1930,11h02,24,515,-11.8,,103
3,31.8.1930,11h02,26,522,-15.2,88,0
4,31.08.1930,17h55,0,523,-15.8,,0
4,31.08.1930,17h55,2,512,-13,,161
4,31.08.1930,17h55,9,471,-15.6,,793
4,31.08.1930,17h55,21,,-13,,
4,31.08.1930,17h55,23,,-16.7,,0
5,02.09.1930,10h50,0,525,,,
5,02.09.1930,10h50,2,513,,,
5,02.09.1930,10h50,8,,,,
5,02.09.1930,10h50,11,,,,
5,02.09.1930,10h50,13,,,,
5,02.09.1930,10h50,26,,,,
5,02.09.1930,10h50,27,,,,
6,02.09.1930,12h55,0,525,-11.5,91,0
6,02.09.1930,12h55,16,437,-19.2,,1384
6,02.09.1930,12h55,19,432,-15.3,,1470
6,02.09.1930,12h55,28,473,-14.05,,790
6,02.09.1930,12h55,37,518,-10.8,,102
6,02.09.1930,12h55,40,525,-11.2,,0
6,02.09.1930,12h55,50,,-14.1,91,
8,13.09.1930,15h58,0,517,-26.6,82,0
8,13.09.1930,15h58,4.7,513,-22.2,,56
8,13.09.1930,15h58,9,506,-17.8,,158
8,13.09.1930,15h58,11.5,505,-16.6,,173
8,13.09.1930,15h58,14,501,-17.3,,233
