# Monthly average firn temperature from volume 3 (p 32 onwards) at Weststation in 1931 (approx. Location: 71.194028, -51.085083)
# depth: depth below surface (pos/+ is above surface, neg/- below surface)[cm]
# 1: Jan
# 2: Feb
# 3: Mar
# 4: Apr
# 5: May
depth;1;2;3;4;5
20;2.5;6.7;4;0.7;2.8
-23;-4.5;-6.7;-7.7;-6.8;-5.1
-50;-5.9;-5;-5.2;-4.6;-3.3
-150;-6.2;-5.7;-5.9;-5.4;-4.9
-250;-637;-6.3;-6.5;-6.3;-6
-350;-6.5;-6.3;-6.4;-6.4;-6.1
-450;-6.5;-6.3;-6.4;-6.6;-6.3
-550;-6.3;-6.5;-6.3;-6.4;-6.3
-650;-6.1;-6.1;-6.2;-6.4;-5.9
-750;-6;-6.1;-6.2;-6.1;-6
-850;-6.1;-6.1;-6.1;-6.1;-5.9
-950;-6;-6;-6;-6;-5.8
-1050;-5.7;-5.8;-6;-5.9;-5.6
-1150;-5.8;-5.7;-5.8;-5.7;-5.5
-1250;;-5.6;-5.8;-5.8;-5.5
-1350;;-5.6;-5.5;-5.5;-5.3
-1450;;-5.5;-5.5;-5.5;-5.3
-1550;;-5.3;-5.3;-5.3;-5.2
-1650;;-5.2;-5.3;-5.3;-5.1
-1750;;-5;-5.2;-5.2;-5.1
-1850;;-4.9;-5;-5.1;-5
-1950;;-4.9;-4.9;-4.9;-4.8
